issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible,cuartil_sjr_ord,h_index,total_docs,total_docs_3y,total_refs,total_citas_3y,docs_citables_3y,citas_por_doc_2y,refs_por_doc,pct_female,fecha_incorporacion,fecha_actualizacion,Last Full Review Date,num_articulos,semanas_pub,ratio_citas_docs,indice_calidad_costo,apc_monto_usd_zscore,sjr_score_zscore,h_index_zscore,semanas_pub_zscore,apc_monto_usd_minmax,sjr_score_minmax,h_index_minmax,semanas_pub_minmax
2215-8405,2619-1822,2215-8405,ciencias tierra medioambientales naturales c latinoamericana investigacion organizaciones ambiente sociedad social general,teuken bidikay organizations accounting management environmental society latin america sciences commerce,12,11,1702.2,EUR,1838.38,1.08,4837.84,observado,True,0,,,,,,,,,,2019-06-24T00:40:33Z,2019-12-05T23:12:40Z,2019-12-05,182,12,,0.4092589690821216,0.5841,,,-0.617,0.3269,,,0.093
1657-8236,2580-5649,1657-8236,ciencias computacion informacion naturales b gerencia tecnologica rancang bangun dan general civil,informatica gti jurnal teknologi design technology engineering,12,7,2640.0,EUR,2851.2,1.08,7503.16,observado,True,0,,,,,,,,,,2017-10-11T14:45:09Z,2019-01-17T08:42:25Z,2019-01-17,214,24,,0.3075932897441169,1.8042,,,0.4005,0.5086,,,0.2326
0120-6788,2595-315X,0120-6788,matematicas aplicadas matematica ciencias naturales b ensenanza universitaria social general,science sociology anthropology political demography sciences,10,6,2331.51,EUR,2518.03,1.08,6626.39,observado,True,0,,,,,,,,,,2020-10-13T19:59:55Z,2020-10-13T19:59:55Z,2020-10-13,0,20,,0.3222521754425146,1.4028,,,0.0613,0.4488,,,0.186
1909-5775,2453-675X,1909-5775,otras ingenierias tecnologias ingenieria tecnologia c investigacion ciencia scientific,i t about technologies technology technics industry education,9,8,405.79,EUR,438.25,1.08,1153.29,observado,True,0,,,,,,,,,,2016-05-06T10:12:12Z,2022-02-13T18:20:38Z,2022-02-13,62,4,,0.4367886226340365,-1.1025,,,-1.2954,0.0757,,,0.0
2011-3188,2215-969X,2011-3188,arquitectura urbanismo arte humanidades b q4 dearquitectura dearq urbanism urban cultural,architecture geography planning development urban engineering social sciences design heritage history fine arts,11,13,2838.0,EUR,3065.04,1.08,8065.89,observado,True,1,5,23,79,344,13,63,0.12,14.96,0.46149999999999997,2022-04-27T10:03:03Z,2024-09-03T06:42:17Z,2024-09-03,289,12,0.16455696202531644,0.4128456540139016,2.0618,-0.5993,-0.4463,-0.617,0.547,0.0184,0.075,0.093
0120-4173,2500-7459,0120-4173,otras biologias ciencias biologicas naturales c q4 asociacion colombiana molecular general,neurology clinical medicine biologicas taxonomy biogeography ecology behaviour biology conservation science,11,11,2648.07,EUR,2859.92,1.08,7526.11,observado,True,1,3,48,114,1495,39,90,0.26,31.15,0.4694,2021-05-10T14:29:21Z,2021-05-10T14:29:21Z,2021-05-10,88,26,0.34210526315789475,0.3161090772549456,1.8147,-0.4581,-0.7284,0.5701,0.5102,0.0319,0.025,0.2558
2011-4990,1925-4296,2011-4990,geologia ciencias tierra medioambientales naturales c ud general,geomatica earth observations geographic information sciences geodesy global positioning system navigation satellite systems science astronomy geography anthropology recreation,8,18,865.0,USD,865.0,1.0,2276.32,declarado,True,0,,,,,,,,,,2025-01-08T12:30:05Z,2026-04-27T14:21:18Z,2026-04-27,42,14,,0.36013048274168585,-0.5884,,,-0.4474,0.1523,,,0.1163
1692-5114,0718-0527,1692-5114,arte humanidades c m analisis sistemico aplicado sociedad social,magister anthropology sociology latin america geography recreation,9,7,924.0,EUR,997.92,1.08,2626.11,observado,True,0,,,,,,,,,,2006-04-04T13:08:57Z,2021-07-26T10:38:24Z,2021-07-26,201,32,,0.3201503349132817,-0.4283,,,1.0789,0.1761,,,0.3256
0123-4250,2998-4971,0123-4250,ciencias salud medicas c medica sanitas human,medicine biomedical science health translational clinical practice,7,7,3000.0,USD,3000.0,1.0,7894.74,declarado,True,0,,,,,,,,,,2026-02-25T15:09:33Z,2026-02-25T15:09:33Z,,60,14,,0.330405318132801,1.9834,,,-0.4474,0.5353,,,0.1163
0120-3800,2500-5669,0120-3800,psicologia incluye terapias aprendizaje habla visual otras discapacidades fisicas mentales ciencias sociales c interamericana ocupacional human social labor,work psychology organizational occupational health resources resource management workplace behavior philosophy religion sciences industries land use industrial behaviour change effectiveness corporate culture,18,22,1828.24,EUR,1974.5,1.08,5196.05,observado,True,0,,,,,,,,,,2018-09-29T18:56:29Z,2019-01-23T14:09:21Z,2019-01-23,22,10,,0.4110478446225714,0.7481,,,-0.7866,0.3513,,,0.0698
0123-2614,2500-5103,0123-2614,otras ciencias sociales c nova vetera human general,et rights territory peace building political science institutions public administration,8,10,2676.26,EUR,2890.36,1.08,7606.21,observado,True,0,,,,,,,,,,2026-04-16T11:19:54Z,2026-04-16T11:19:54Z,,102,20,,0.31711033864147936,1.8513,,,0.0613,0.5156,,,0.186
1909-8642,2619-645X,1909-8642,ingenieria marina naves ambiental tecnologia c q4 ciencia buques cartagena naval,history political science relations arts humanities social sciences ship technology design hydrodynamics dynamics ships vibrations noise construction marine engineering,11,19,1791.95,EUR,1935.31,1.08,5092.92,observado,True,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,2018-02-01T16:32:33Z,2026-08-11T15:19:37Z,,0,20,0.07017543859649122,0.3431072770635148,0.7009,-0.7791,-0.7284,0.0613,0.3443,0.0012,0.025,0.186
1909-230X,2389-7481,1909-230X,ciencias politicas sociales c q4 ciencia universidad nacional colombia general,history political science relations arts humanities social sciences politica communication politics institutions public administration,10,14,2443.03,EUR,2638.47,1.08,6943.34,observado,True,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,2016-03-08T19:17:55Z,2025-02-08T22:13:49Z,2025-02-08,474,16,0.07017543859649122,0.34237075226148106,1.5479,-0.7791,-0.7284,-0.2778,0.4704,0.0012,0.025,0.1395
0120-095X,2215-3934,0120-095X,otras humanidades c uis escuela estudios generales humanist general,humanities thought works,9,3,2618.0,EUR,2827.44,1.08,7440.63,observado,True,0,,,,,,,,,,2015-03-05T17:27:56Z,2020-03-13T14:26:31Z,2015-03-05,337,12,,0.39878567452353086,1.7755,,,-0.617,0.5043,,,0.093
2027-1433,2340-3144,2027-1433,ciencias biologicas naturales c sociedad esic media social,gestion adresearch communication new marketing public relations strategy branding sciences language literature philology linguistics mass,8,15,1996.61,EUR,2156.34,1.08,5674.58,observado,True,0,,,,,,,,,,2022-04-19T13:31:45Z,2022-04-19T13:31:45Z,2022-04-19,260,24,,0.3180431438018158,0.9671,,,0.4005,0.3839,,,0.2326
1900-9909,2447-794X,1900-9909,medios comunicacion social periodismo comunicaciones ciencias sociales b extensao do ifam,nexus university extension higher education community academic training culture environment special aspects,11,12,975.0,EUR,1053.0,1.08,2771.05,observado,True,0,,,,,,,,,,2026-04-27T20:14:05Z,2026-04-27T20:14:05Z,,0,32,,0.31909567673913886,-0.362,,,1.0789,0.186,,,0.3256
2011-074X,2007-1868,2011-074X,sociologia ciencias sociales c s general,philosophy culture psychology religion,6,4,1019.3,EUR,1100.84,1.08,2896.95,observado,True,0,,,,,,,,,,2017-01-20T14:18:45Z,2021-11-02T08:38:33Z,2021-11-02,295,12,,0.4175434379260349,-0.3043,,,-0.617,0.1946,,,0.093
2027-7458,2390-0067,2027-7458,ciencias politicas sociales c q4 analecta general,history political science relations arts humanities social sciences politica politics,7,10,2443.03,EUR,2638.47,1.08,6943.34,observado,True,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,2016-03-07T18:22:45Z,2022-02-11T04:18:31Z,2022-02-11,0,16,0.07017543859649122,0.34237075226148106,1.5479,-0.7791,-0.7284,-0.2778,0.4704,0.0012,0.025,0.1395
0072-0992,2336-3037,0072-0992,geologia ciencias tierra medioambientales naturales b q4 colombiana scientific general civil,neurology clinical medicine logi transport logistics warehousing handling vehicle sustainability technology engineering transportation,11,13,150.0,EUR,162.0,1.08,426.32,declarado,True,1,3,48,114,1495,39,90,0.26,31.15,0.4694,2024-04-02T13:46:11Z,2026-07-24T16:43:03Z,2026-07-24,208,12,0.34210526315789475,0.4422746578158867,-1.4353,-0.4581,-0.7284,-0.617,0.0262,0.0319,0.025,0.093
0123-9678,0719-367X,0123-9678,ciencias computacion informacion naturales c ventana media,informatica communication journalism information advertising broadcasting film language literature philology linguistics mass,7,12,2640.0,EUR,2851.2,1.08,7503.16,observado,True,0,,,,,,,,,,2017-06-15T15:38:35Z,2024-12-09T08:08:39Z,2024-12-09,1585,32,,0.28694970189648555,1.8042,,,1.0789,0.5086,,,0.3256
0121-7372,2462-991X,0121-7372,medicina clinica ciencias medicas salud c q4 repertorio cirugia general,dermatology surgery medicine health sciences biomedicine,10,6,1448.6,EUR,1564.49,1.08,4117.08,observado,True,1,2,58,123,889,5,91,0.06,15.33,0.5539999999999999,2021-01-18T10:00:02Z,2021-05-11T07:07:17Z,2021-05-11,1173,16,0.04065040650406504,0.35095127591127545,0.2542,-0.7278,-0.8695,-0.2778,0.2778,0.0061,0.0,0.1395
1692-9918,1981-4127,1692-9918,otras ciencias naturales c ingenieria recursos ambiente gestao desenvolvimento social human general,science education sciences works geography anthropology recreation environmental,12,8,2331.51,EUR,2518.03,1.08,6626.39,observado,True,0,,,,,,,,,,2020-01-06T18:37:23Z,2020-02-27T21:36:06Z,2020-02-27,504,4,,0.4152789249096984,1.4028,,,-1.2954,0.4488,,,0.0
1692-3502,2215-4744,1692-3502,otras ciencias sociales c ensayos historia teoria arte costa central general europe doctrinal,history historiography rican american latin america spanish philosophy psychology religion theology specific doctrines movements heresies schisms,13,16,1116.0,EUR,1205.28,1.08,3171.79,observado,True,0,,,,,,,,,,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,8,,0.4225750448026122,-0.1785,,,-0.9562,0.2133,,,0.0465
2027-8047,2715-9256,2027-8047,ciencias salud medicas c una publica pemikiran administrasi negara asia,sapuvet jurnal public administration policy bureaucracy service governance local government political science institutions asian only,10,15,2390.0,EUR,2581.2,1.08,6792.63,observado,True,0,,,,,,,,,,2022-09-19T15:04:51Z,2022-09-19T15:04:51Z,2022-09-19,143,22,,0.3164673856115927,1.4789,,,0.2309,0.4602,,,0.2093
0123-2592,2244-7490,0123-2592,otras ciencias sociales c dialectica inclusion tic general,education pedagogy teaching learning,8,4,2838.0,EUR,3065.04,1.08,8065.89,observado,True,0,,,,,,,,,,2025-01-09T13:43:38Z,2025-01-09T13:43:38Z,2025-01-09,998,18,,0.3198095162866439,2.0618,,,-0.1083,0.547,,,0.1628
1657-7663,0719-367X,1657-7663,ciencias computacion informacion naturales c avances sistema media,informatica communication journalism information advertising broadcasting film language literature philology linguistics mass,8,12,2640.0,EUR,2851.2,1.08,7503.16,observado,True,0,,,,,,,,,,2017-06-15T15:38:35Z,2024-12-09T08:08:39Z,2024-12-09,1585,32,,0.28694970189648555,1.8042,,,1.0789,0.5086,,,0.3256
0122-011X,2215-4744,0122-011X,idiomas literatura humanidades c teoria historia critica costa central general europe doctrinal,history historiography rican american latin america spanish philosophy psychology religion theology specific doctrines movements heresies schisms,12,16,1116.0,EUR,1205.28,1.08,3171.79,observado,True,0,,,,,,,,,,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,8,,0.4225750448026122,-0.1785,,,-0.9562,0.2133,,,0.0465
1900-5121,2751-2614,1900-5121,salud publica ciencias medicas c tipica escolar artificial conversion,electronico energy environment biomedicine intelligence electronic information storage science physics technology,9,11,3200.0,USD,3200.0,1.0,8421.05,declarado,True,0,,,,,,,,,,2025-06-16T12:29:03Z,2026-03-17T11:46:53Z,2026-03-17,91,16,,0.3231180706909089,2.2243,,,-0.2778,0.5712,,,0.1395
0123-4676,2215-4744,0123-4676,historia arqueologia humanidades b q4 fronteras costa central general europe doctrinal,history political science relations arts humanities social sciences historiography rican american latin america spanish philosophy psychology religion theology specific doctrines movements heresies schisms,11,23,1116.0,EUR,1205.28,1.08,3171.79,observado,True,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,2019-04-25T00:54:35Z,2022-09-26T12:59:42Z,2022-09-26,731,8,0.07017543859649122,0.4330724767084365,-0.1785,-0.7791,-0.7284,-0.9562,0.2133,0.0012,0.025,0.0465
1909-7891,2358-3452,1909-7891,ingenieria civil tecnologia c vector vetor ciencias exatas engenharias general,engineering chemistry exact sciences applied mathematics mathematical modelling technology science,10,10,1104.0,EUR,1192.32,1.08,3137.68,observado,True,0,,,,,,,,,,2022-09-03T12:29:11Z,2022-09-03T12:29:11Z,2022-09-03,1176,10,,0.41962150503426815,-0.1941,,,-0.7866,0.211,,,0.0698
1692-3103,0120-1867,1692-3103,derecho ciencias sociales b q3 q4 maestria economico universidad catolica santisima concepcion legal jurisprudence,law political science relations social sciences history public private,14,9,1828.49,EUR,1974.77,1.08,5196.76,observado,True,2,4,13,52,576,12,50,0.26,44.31,0.3125,2024-11-05T07:14:45Z,2024-11-05T07:14:45Z,2024-11-05,126,10,0.23076923076923078,0.4624159044660311,0.7484,-0.0472,-0.5873,-0.7866,0.3514,0.0713,0.05,0.0698
0120-6680,1988-3242,0120-6680,filosofia otras humanidades c logos general,philosophy metaphysics critical theory epistemology psychology religion speculative,6,8,243.34,EUR,262.81,1.08,691.61,observado,True,0,,,,,,,,,,2018-10-06T00:54:40Z,2019-03-04T03:03:41Z,2019-03-04,1292,32,,0.3343471411494156,-1.3138,,,1.0789,0.0442,,,0.3256
1657-5946,2215-7727,1657-5946,economia negocios ciencias sociales c q4 desarrollo cuba social as,agronomy crop science economics econometrics geography planning development agricultural biological sciences finance social gestion economy economic institutions history conditions theory demography,10,21,2908.3,EUR,3140.96,1.08,8265.68,observado,True,1,16,7,28,319,13,28,0.27,45.57,0.2778,2018-04-04T14:01:18Z,2022-09-19T12:32:51Z,2022-09-19,0,14,0.4642857142857143,0.38585050021180073,2.1532,-0.1242,1.1056,-0.4474,0.5606,0.0639,0.35,0.1163
0120-9833,2543-3717,0120-9833,ingenieria ambiental tecnologia c solar social labor fuel,energetica energy renewable environment thermal sciences industries land use special trades policy trade,8,13,2671.76,EUR,2885.5,1.08,7593.42,observado,True,0,,,,,,,,,,2020-11-06T18:15:05Z,2025-03-19T15:22:34Z,2025-03-19,128,8,,0.4050565677167505,1.8455,,,-0.9562,0.5148,,,0.0465
1692-0880,0123-2576,1692-0880,medicina clinica ciencias medicas salud c q4 experimental general,education medical laboratory technology medicine miscellaneous health professions social sciences clinical surgery oncology public,9,14,1448.6,EUR,1564.49,1.08,4117.08,observado,True,1,4,0,62,0,16,50,0.28,0.0,0.0,2016-10-25T09:25:34Z,2023-08-14T10:00:55Z,2023-08-14,13014,6,0.25806451612903225,0.43957385127225923,0.2542,-0.4581,-0.5873,-1.1258,0.2778,0.0319,0.05,0.0233
0123-2304,2421-4574,0123-2304,otras humanidades c temas reflexiones tema structural,technology engineering materials architecture building performance construction practices technical history preservation architectural buildings,7,13,400.0,EUR,432.0,1.08,1136.84,declarado,True,0,,,,,,,,,,2019-05-15T09:21:14Z,2026-07-31T06:56:32Z,,279,4,,0.43685511483632644,-1.11,,,-1.2954,0.0746,,,0.0
0122-9534,2675-6617,0122-9534,ciencias veterinarias agricolas b medicina veterinaria,veterinary medicine animal production biology agriculture culture,6,7,380.8,EUR,411.26,1.08,1082.26,observado,True,0,,,,,,,,,,2023-07-06T16:59:40Z,2023-07-06T16:59:40Z,2023-07-06,780,12,,0.4254676234530693,-1.135,,,-0.617,0.0709,,,0.093
1012-7410,2590-9932,1012-7410,biotecnologia agricola ciencias agricolas c pasturas tropicales,wood technology products management agriculture forestry,7,6,2784.55,EUR,3007.31,1.08,7913.97,observado,True,0,,,,,,,,,,2019-09-22T13:56:34Z,2022-08-11T10:16:20Z,2022-08-11,207,4,,0.41061748361620687,1.9922,,,-1.2954,0.5366,,,0.0
0123-1952,2786-8788,0123-1952,historia arqueologia humanidades c utopia siglo xxi general,relations diplomacy foreign policy history political science,8,7,600.0,UAH,16.2,0.027,42.63,declarado,True,0,,,,,,,,,,2024-05-23T10:52:04Z,2024-05-23T10:52:04Z,2024-05-23,165,8,,0.43570954360422576,-1.6109,,,-0.9562,0.0,,,0.0465
0121-2532,2600-5727,0121-2532,otras ciencias sociales c coyuntura social as,economy finances administration accounting sciences commerce business bookkeeping economic theory demography economics science,7,13,267.75,EUR,289.17,1.08,760.97,observado,True,0,,,,,,,,,,2023-05-25T07:55:55Z,2023-05-25T07:55:55Z,2023-05-25,0,16,,0.36510357701734536,-1.2821,,,-0.2778,0.049,,,0.1395
0120-3797,2007-7149,0120-3797,psicologia ciencias sociales a2 avances latinoamericana social,clinica behavioral sciences clinical psychology occupational educational psychosocial philosophy religion,7,10,1828.24,EUR,1974.5,1.08,5196.05,observado,True,0,,,,,,,,,,2021-01-11T09:56:14Z,2021-01-11T09:56:14Z,2021-01-11,0,16,,0.33939548713948764,0.7481,,,-0.2778,0.3513,,,0.1395
