issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible,cuartil_sjr_ord,h_index,total_docs,total_docs_3y,total_refs,total_citas_3y,docs_citables_3y,citas_por_doc_2y,refs_por_doc,pct_female,fecha_incorporacion,fecha_actualizacion,Last Full Review Date,num_articulos,semanas_pub,ratio_citas_docs,indice_calidad_costo,apc_monto_usd_zscore,sjr_score_zscore,h_index_zscore,semanas_pub_zscore,apc_monto_usd_minmax,sjr_score_minmax,h_index_minmax,semanas_pub_minmax
2145-9932,1852-9429,2145-9932,salud publica ciencias medicas c q3 q4 ces general,health professions miscellaneous occupational therapy physical sports rehabilitation public environmental speech hearing medicine epidemiology community care aspects,9,17,2390.0,EUR,2581.2,1.08,6792.63,observado,True,2,6,46,89,1864,64,83,0.85,40.52,0.49439999999999995,2008-08-04T13:13:01Z,2025-08-08T11:16:27Z,2025-08-08,774,6,0.7191011235955056,0.4808970262245609,1.4789,0.428,-0.3052,-1.1258,0.4602,0.1167,0.1,0.0233
1657-8651,2346-2159,1657-8651,ciencias politicas sociales b opera observatorio ejecucion resultados administracion publica general,public policy elections nation territory political science institutions administration,11,9,2390.0,EUR,2581.2,1.08,6792.63,observado,True,0,,,,,,,,,,2015-08-24T12:18:42Z,2026-06-19T12:42:05Z,2026-06-19,674,16,,0.3309631924651782,1.4789,,,-0.2778,0.4602,,,0.1395
1657-4214,,1657-4214,economia negocios ciencias sociales a2 perfil coyuntura social as,economica management economics education accounting sciences economic theory demography science,9,10,1828.49,EUR,1974.77,1.08,5196.76,observado,True,0,,,,,,,,,,2015-11-10T13:17:26Z,2018-10-17T07:21:28Z,2018-10-17,239,8,,0.4142999458923853,0.7484,,,-0.9562,0.3514,,,0.0465
0121-0041,2256-5655,0121-0041,ciencias salud medicas c q4 colombiana medicina fisica rehabilitacion musculoskeletal electrodiagnostic,neurology clinical medicine physical therapy rehabilitation orthoses chronic pain internal specialties diseases system,11,13,1448.6,EUR,1564.49,1.08,4117.08,observado,True,1,3,48,114,1495,39,90,0.26,31.15,0.4694,2022-08-02T08:53:14Z,2022-08-02T08:53:14Z,2022-08-02,337,90,0.34210526315789475,0.22508682621428772,0.2542,-0.4581,-0.7284,5.997,0.2778,0.0319,0.025,1.0
1692-8415,,1692-8415,ciencias salud medicas c ciencia tecnologia para visual ocular lenses,vision sciences amblyopia ortoptics contact pharmacology optometry medicine ophthalmology,10,9,3170.0,EUR,3423.6,1.08,9009.47,observado,True,0,,,,,,,,,,2016-06-01T08:00:49Z,2019-02-27T23:12:31Z,2019-02-27,0,16,,0.32050835366001057,2.4937,,,-0.2778,0.6113,,,0.1395
0123-8884,0123-8884,0123-8884,psicologia ciencias sociales c freud,affectio societatis psychoanalysis clinical investigation philosophy psychology religion,5,8,2838.0,EUR,3065.04,1.08,8065.89,observado,True,0,,,,,,,,,,2010-09-27T09:57:36Z,2022-09-20T07:56:41Z,2022-09-20,354,24,,0.3046108443817761,2.0618,,,0.4005,0.547,,,0.2326
1794-6638,2619-4066,1794-6638,derecho ciencias sociales c legal general uniform jurisprudence,ratio juris law history anthropology philosophy psicology comparative theory,8,9,1410.32,EUR,1523.15,1.08,4008.29,observado,True,0,,,,,,,,,,2018-03-15T12:08:55Z,2023-05-02T06:00:00Z,2023-05-02,654,12,,0.4127641090673529,0.2044,,,-0.617,0.2704,,,0.093
1794-6298,0120-1867,1794-6298,economia negocios ciencias sociales c q3 q4 populi escuela finanzas estudios internacionales fundacion universitaria san sede bogota,law political science relations social sciences vox martin economics trade,17,10,3028.04,EUR,3270.28,1.08,8606.0,observado,True,2,4,13,52,576,12,50,0.26,44.31,0.3125,2016-01-21T16:53:43Z,2019-09-12T14:27:45Z,2019-09-12,6,16,0.23076923076923078,0.3780160475504643,2.309,-0.0472,-0.5873,-0.2778,0.5838,0.0713,0.05,0.1395
1692-1399,2453-675X,1692-1399,ingenieria produccion otras ingenierias tecnologias tecnologia c scientific,about technologies technology technics industry education,8,6,315.0,EUR,340.2,1.08,895.26,declarado,True,0,,,,,,,,,,2016-05-06T10:12:12Z,2022-02-13T18:20:38Z,2022-02-13,62,4,,0.4378315821256168,-1.2206,,,-1.2954,0.0581,,,0.0
2011-3501,,2011-3501,otras ciencias sociales c dialectica libertadora dor,pain anesthesiology cannabinoids management rheumatology medicine,7,6,2838.0,EUR,3065.04,1.08,8065.89,observado,True,0,,,,,,,,,,2022-04-04T11:48:26Z,2022-04-07T09:54:23Z,2022-04-07,52,12,,0.3964237536401622,2.0618,,,-0.617,0.547,,,0.093
1657-9553,,1657-9553,economia negocios ciencias sociales c q3 q4 facultad contables economicas administrativas social as,health professions miscellaneous occupational therapy physical sports rehabilitation public environmental speech hearing medicine faccea management economics education accounting sciences economic theory demography science,13,23,1828.49,EUR,1974.77,1.08,5196.76,observado,True,2,6,46,89,1864,64,83,0.85,40.52,0.49439999999999995,2015-11-10T13:17:26Z,2018-10-17T07:21:28Z,2018-10-17,239,8,0.7191011235955056,0.48439344597809536,0.7484,0.428,-0.3052,-0.9562,0.3514,0.1167,0.1,0.0465
1794-8347,1679-0375,1794-8347,negocios economia ciencias sociales b q3 q4 estrategicas general,management health professions miscellaneous occupational therapy physical sports rehabilitation public environmental speech hearing medicine exact sciences engineering technology science,9,19,3385.0,EUR,3655.8,1.08,9620.53,observado,True,2,6,46,89,1864,64,83,0.85,40.52,0.49439999999999995,2010-09-24T10:24:16Z,2021-06-05T10:48:07Z,2021-06-05,1053,12,0.7191011235955056,0.4607815682256142,2.7734,0.428,-0.3052,-0.617,0.653,0.1167,0.1,0.093
1909-9851,2521-9715,1909-9851,otras ingenierias tecnologias ingenieria tecnologia c puente cientifica facultad ciencias veterinarias universidad zulia,veterinary medicine animal science agricultural economics public health food technology agriculture culture cattle,13,13,895.15,EUR,966.76,1.08,2544.11,observado,True,0,,,,,,,,,,2023-02-27T14:36:38Z,2023-02-27T14:36:38Z,2023-02-27,2418,9,,0.4236763726172109,-0.4659,,,-0.8714,0.1705,,,0.0581
2011-8643,1947-5691,2011-8643,educacion general incluye capacitacion pedagogia ciencias sociales c magistro data,geography remote sensing science geographic information systems anthropology recreation mathematical cartography,10,11,2727.28,EUR,2945.46,1.08,7751.21,observado,True,0,,,,,,,,,,2021-10-18T10:31:49Z,2023-07-17T14:09:48Z,2023-07-17,187,10,,0.40105458809521216,1.9177,,,-0.7866,0.5255,,,0.0698
1692-5238,1729-3804,1692-5238,ingenieria electrica electronica ingenierias informatica tecnologia c s sistemas tic internet,t telematica telematics technologies networks technology electrical engineering electronics nuclear telecommunication,11,11,1314.0,EUR,1419.12,1.08,3734.53,observado,True,0,,,,,,,,,,2014-05-28T18:00:32Z,2020-07-24T14:32:02Z,2020-07-24,400,8,,0.42024562510436275,0.0791,,,-0.9562,0.2517,,,0.0465
