issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
2322-9381,2322-9675,2322-9381,historia arqueologia humanidades a2,trashumante public health sciences medicine general,4,6,2618.0,EUR,2827.44,1.08,7440.63,observado,True
0120-4688,2389-9387,0120-4688,filosofia otras humanidades c,philosophy humanities ethics metaphysics,4,4,2380.0,EUR,2570.4,1.08,6764.21,observado,True
0121-8417,2357-4720,0121-8417,historia arqueologia humanidades c,history q4 political science relations arts humanities social sciences general works scholarship learning,4,13,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0122-1701,2413-4155,0122-1701,ingenieria electrica electronica ingenierias informatica tecnologia b,scientia et technica sciences technology medicine engineering materials physics science,7,10,1139.73,EUR,1230.91,1.08,3239.24,observado,True
1657-6357,2709-7005,1657-6357,otras ciencias sociales b sociedad economia,social sciences communities classes races urban groups city sociology regional economics space,6,12,1996.61,EUR,2156.34,1.08,5674.58,observado,True
1657-0308,2357-626X,1657-0308,arquitectura urbanismo arte humanidades b,,5,0,2838.0,EUR,3065.04,1.08,8065.89,observado,True
1657-107X,1853-1326,1657-107X,ciencias educacion sociales b interamericana investigacion pedagogia education teacher training didactics teaching general special aspects theory practice,,17,0,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0120-0976,2538-9866,0120-0976,otras humanidades c,information science archival library bibliography resources,3,6,1828.24,EUR,1974.5,1.08,5196.05,observado,True
1692-3561,1909-9959,1692-3561,agronomia agricultura silvicultura pesca ciencias agricolas b biotecnologia sector agropecuario agroindustrial biotechnology agriculture forestry microbiology engineering food,agriculture general technology chemical biotechnology,17,5,2232.92,EUR,2411.55,1.08,6346.18,observado,True
0120-2952,0123-2576,0120-2952,ciencias veterinarias agricolas b facultad medicina veterinaria zootecnia agriculture animal culture veterinary medicine,education q4 medical laboratory technology medicine miscellaneous health professions social sciences animal husbandry veterinary science dairy,13,16,1448.6,EUR,1564.49,1.08,4117.08,observado,True
