issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
2027-8101,2340-3144,2027-8101,ciencias tierra medioambientales naturales c,communication new media marketing public relations strategy branding social sciences language literature philology linguistics mass,5,15,,,,,,,False
0120-6788,2595-315X,0120-6788,matematicas aplicadas matematica ciencias naturales b,social science sociology anthropology political demography general sciences,6,8,2331.51,EUR,2518.03,1.08,6626.39,observado,True
2027-3335,2227-1465,2027-3335,matematica ciencias naturales c comunicaciones estadistica language literature philology linguistics communication mass media general journalism periodical press etc,communication journalism humanities,18,3,,,,,,,False
1909-5775,2453-675X,1909-5775,otras ingenierias tecnologias ingenieria tecnologia c,i t c investigacion tecnologia ciencia scientific about technologies technology technics industry education,6,13,405.79,EUR,438.25,1.08,1153.29,observado,True
1900-8325,0120-1867,1900-8325,otras ciencias sociales c,law q3 political science relations q4 social sciences security defense strategy military,4,12,,,,,,,False
0122-7262,1657-0448,0122-7262,medicina clinica ciencias medicas salud c,dermatology q4 surgery medicine,6,4,,,,,,,False
1692-1259,2182-7591,1692-1259,otras ingenierias tecnologias ingenieria tecnologia c,,6,0,,,,,,,False
2011-3188,2215-969X,2011-3188,arquitectura urbanismo arte humanidades b,architecture q4 geography planning development urban engineering social sciences,5,9,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0120-4165,2539-1623,0120-4165,otras ciencias sociales c controversia,crtical thinking grassroots organizations peacebuilding social movements civil society sciences history conditions problems reform,5,14,,,,,,,False
0121-7593,1853-1326,0121-7593,educacion general incluye capacitacion pedagogia ciencias sociales c education teacher training didactics teaching special aspects theory practice,,17,0,,,,,,,False
0120-4173,2500-7459,0120-4173,otras biologias ciencias biologicas naturales c asociacion colombiana,neurology clinical q4 medicine taxonomy biogeography ecology behaviour molecular biology conservation science general,8,13,2648.07,EUR,2859.92,1.08,7526.11,observado,True
0120-2729,2444-054X,0120-2729,medicina clinica ciencias medicas salud c,neurology clinical q4 medicine health surgery,6,6,,,,,,,False
2011-4990,1925-4296,2011-4990,geologia ciencias tierra medioambientales naturales c,ud geomatica earth observations geographic information sciences geodesy global positioning system navigation satellite systems science astronomy geography anthropology recreation general,6,20,865.0,USD,865.0,1.0,2276.32,declarado,True
0123-0670,2346-0911,0123-0670,idiomas literatura humanidades c,,4,0,,,,,,,False
1692-3375,2525-8508,1692-3375,otras ciencias naturales c,education law social sciences technology,4,5,,,,,,,False
1692-5114,0718-0527,1692-5114,arte humanidades c m magister analisis sistemico aplicado sociedad geography anthropology recreation,social anthropology sociology latin america,12,5,924.0,EUR,997.92,1.08,2626.11,observado,True
0123-4250,2998-4971,0123-4250,ciencias salud medicas c,medica sanitas medicine biomedical science human health translational clinical practice,4,10,3000.0,USD,3000.0,1.0,7894.74,declarado,True
0120-3800,2500-5669,0120-3800,psicologia incluye terapias aprendizaje habla visual otras discapacidades fisicas mentales ciencias sociales c interamericana ocupacional,work psychology organizational occupational health human resources resource management workplace behavior philosophy religion social sciences industries land use labor industrial behaviour change effectiveness corporate culture,15,25,1828.24,EUR,1974.5,1.08,5196.05,observado,True
0123-2614,2500-5103,0123-2614,otras ciencias sociales c,political science institutions public administration general,4,6,2676.26,EUR,2890.36,1.08,7606.21,observado,True
0120-3045,2256-5752,0120-3045,antropologia sociologia ciencias sociales b,,5,0,,,,,,,False
2027-3029,,2027-3029,derecho ciencias sociales c,,4,0,,,,,,,False
1909-8642,2619-645X,1909-8642,ingenieria marina naves ambiental tecnologia c,history q4 political science relations arts humanities social sciences ciencia tecnologia buques ship technology cartagena design hydrodynamics dynamics ships vibrations noise construction marine engineering naval,6,25,1791.95,EUR,1935.31,1.08,5092.92,observado,True
1909-230X,2389-7481,1909-230X,ciencias politicas sociales c,history q4 political science relations arts humanities social sciences communication politics institutions public administration general,4,15,2443.03,EUR,2638.47,1.08,6943.34,observado,True
2027-0658,2590-4701,2027-0658,ingenieria ambiental tecnologia c derrotero ciencia investigacion,naval science military,7,3,,,,,,,False
0120-095X,2215-3934,0120-095X,otras humanidades c uis escuela estudios generales general works,humanities humanist thought,9,3,2618.0,EUR,2827.44,1.08,7440.63,observado,True
1900-0448,2500-5286,1900-0448,derecho ciencias sociales c iusta,conflict legal practices law general comparative uniform jurisprudence political science,5,10,,,,,,,False
2027-1433,2340-3144,2027-1433,ciencias biologicas naturales c,communication new media marketing public relations strategy branding social sciences language literature philology linguistics mass,4,15,1996.61,EUR,2156.34,1.08,5674.58,observado,True
0123-0999,1982-5838,0123-0999,filosofia otras humanidades b,,4,0,,,,,,,False
1900-9909,2447-794X,1900-9909,medios comunicacion social periodismo comunicaciones ciencias sociales b,,8,0,975.0,EUR,1053.0,1.08,2771.05,observado,True
2811-3854,,2811-3854,economia negocios ciencias sociales c,,5,0,,,,,,,False
2145-8987,2145-9045,2145-8987,teoria literaria idiomas literatura humanidades b,cultural q3 literature literary theory gender q4 arts humanities social sciences,6,11,,,,,,,False
0122-0799,0120-1867,0122-0799,derecho ciencias sociales c instituto colombiano tributario icdt universidad catolica santisima concepcion,law q3 political science relations q4 social sciences legal jurisprudence history public private,12,13,,,,,,,False
0120-0445,2386-8066,0120-0445,psicologia ciencias sociales c,neurology clinical q4 medicine,4,4,,,,,,,False
2011-074X,2007-1868,2011-074X,sociologia ciencias sociales c s philosophy culture psychology religion general,,10,0,1019.3,EUR,1100.84,1.08,2896.95,observado,True
1657-6985,2409-5370,1657-6985,otras ingenierias tecnologias ingenieria tecnologia c,ingenieria region regional science economics economic geography urban planning general social sciences,6,12,,,,,,,False
1657-2831,2539-2115,1657-2831,otras ingenierias tecnologias ingenieria tecnologia c,computer science miscellaneous q4 computing informatics telematics information technology telecommunications electrical engineering electronics nuclear hardware mathematics instruments machines electronic computers,6,20,,,,,,,False
2011-7213,2660-6070,2011-7213,derecho ciencias sociales c,philosophy humanities political thought social sciences education,4,7,,,,,,,False
2146-5147,2362-552X,2146-5147,economia negocios ciencias sociales c desarrollo gerencial facultad economicas administrativas contables,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine business commerce economics management accounting education social sciences economic theory demography as science,11,28,,,,,,,False
1657-6276,2660-6070,1657-6276,negocios management economia ciencias sociales a2,philosophy humanities political thought social sciences education,6,7,,,,,,,False
2027-7458,2390-0067,2027-7458,ciencias politicas sociales c analecta politica politics relations,history q4 political science relations arts humanities social sciences general,8,10,2443.03,EUR,2638.47,1.08,6943.34,observado,True
0121-0483,0120-1867,0121-0483,penal derecho ciencias sociales b criminologia,law q3 political science relations q4 social sciences criminal disciplinary criminology justice jurisprudence general comparative uniform,6,16,,,,,,,False
0072-0992,2336-3037,0072-0992,geologia ciencias tierra medioambientales naturales b,neurology clinical q4 medicine geologia colombiana logi scientific transport logistics warehousing handling vehicle sustainability technology engineering general civil transportation,6,19,150.0,EUR,162.0,1.08,426.32,declarado,True
0120-0453,2389-7708,0120-0453,otros temas medicina clinica ciencias medicas salud c sociedad colombiana oftalmologia,nephrology q4 medicine communication sciences social work labor relations humanities sociology general,11,12,,,,,,,False
0123-9678,0719-367X,0123-9678,ciencias computacion informacion naturales c,,5,0,2640.0,EUR,2851.2,1.08,7503.16,observado,True
