issn_normalizado,titulo,titulo_normalizado,pais_iso,gran_area,fila_gold,apc_tipo,apc_monto_usd,apc_monto_ppp_usd,apc_imputado,apc_es_outlier,faltan_campos_apc,faltan_campos_todos
2463-1469,Eleuthera,eleuthera,CO,Ciencias Sociales,235,observado,1838.38,4837.84,False,False,apc_metodo_imputacion,"issn_electronic, institucion_editora_2, institucion_editora_3, rank, sourceid, tipo_publicacion, titulo_normalizado_scimago_dup, open_access, sjr_score, cuartil_sjr, h_index, total_docs, total_docs_3y, total_refs, total_citas_3y, docs_citables_3y, citas_por_doc_2y, refs_por_doc, pct_female, overton, cobertura, categorias, areas, url_revista, url, When did the journal start to publish all content using an open license?, titulo_alternativo, issn_impreso, issn_electronico, palabras_clave, idiomas, pais_editorial, Other organisation, Country of other organisation, licencia, atributos_licencia, URL for license terms, cc_legible_maquina, autor_retiene_copyright, Copyright information URL, tipo_revision, Review process information URL, politica_plagio, URL for journal's aims & scope, URL for the Editorial Board page, URL for journal's instructions for authors, semanas_submission_publicacion, tiene_apc, APC information URL, apc_amount_raw, politica_exencion, Waiver policy information URL, tiene_otros_cobros, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, identificadores_persistentes, cumple_oa, Continues, Continued By, codigos_lcc, subscribe_to_open, Mirror Journal, Open Journals Collective, materias, fecha_incorporacion, fecha_actualizacion, Last Full Review Date, num_articulos, fecha_ultimo_articulo, titulo_normalizado_doaj_dup, apc_conversion_estado, titulo_normalizado_facts_dup, titulo_normalizado_openapc_dup, apc_metodo_imputacion, contraste_publindex_cuartil, semanas_pub, editorial_rapida, ratio_citas_docs, sjr_score_zscore, h_index_zscore, semanas_pub_zscore, sjr_score_minmax, h_index_minmax, semanas_pub_minmax"
2027-145X,Bitácora Urbano Territorial,bitacora urbano territorial,CO,Humanidades,236,observado,714.2,1879.47,False,False,apc_metodo_imputacion,"issn_electronic, institucion_editora_1, institucion_editora_2, institucion_editora_3, rank, sourceid, tipo_publicacion, titulo_normalizado_scimago_dup, open_access, sjr_score, cuartil_sjr, h_index, total_docs, total_docs_3y, total_refs, total_citas_3y, docs_citables_3y, citas_por_doc_2y, refs_por_doc, pct_female, overton, cobertura, categorias, areas, titulo_alternativo, Other organisation, Country of other organisation, atributos_licencia, apc_amount_raw, Waiver policy information URL, Other fees information URL, Preservation Service: national library, Deposit policy directory, URL for deposit policy, Continues, Continued By, titulo_normalizado_doaj_dup, titulo_normalizado_facts_dup, titulo_normalizado_openapc_dup, apc_metodo_imputacion, contraste_publindex_cuartil, ratio_citas_docs, sjr_score_zscore, h_index_zscore, sjr_score_minmax, h_index_minmax"
2145-9169,Análisis,analisis,CO,Humanidades,237,observado,2438.85,6418.03,False,False,apc_metodo_imputacion,"issn_electronic, institucion_editora_2, institucion_editora_3, rank, sourceid, tipo_publicacion, titulo_normalizado_scimago_dup, open_access, sjr_score, cuartil_sjr, h_index, total_docs, total_docs_3y, total_refs, total_citas_3y, docs_citables_3y, citas_por_doc_2y, refs_por_doc, pct_female, overton, cobertura, categorias, areas, issn_impreso, Country of other organisation, atributos_licencia, cc_legible_maquina, apc_amount_raw, Waiver policy information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, URL for deposit policy, Continues, Continued By, fecha_ultimo_articulo, titulo_normalizado_doaj_dup, titulo_normalizado_facts_dup, titulo_normalizado_openapc_dup, apc_metodo_imputacion, contraste_publindex_cuartil, ratio_citas_docs, sjr_score_zscore, h_index_zscore, sjr_score_minmax, h_index_minmax"
2011-7531,Salud Uninorte,salud uninorte,CO,Ciencias Médicas y de la Salud,238,imputado,1292.34,3400.89,True,False,"apc_monto, apc_moneda","institucion_editora_2, institucion_editora_3, titulo_alternativo, issn_impreso, Country of other organisation, atributos_licencia, cc_legible_maquina, Copyright information URL, apc_amount_raw, Waiver policy information URL, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, identificadores_persistentes, Continues, Continued By, apc_monto_original, apc_moneda_original, tasa_usd_utilizada, apc_monto, apc_moneda, titulo_normalizado_facts_dup, is_hybrid, titulo_normalizado_openapc_dup"
2248-4086,Anagramas : Rumbos Y Sentidos De La Comunicación,anagramas rumbos sentidos comunicacion,CO,Ciencias Sociales,239,imputado,870.76,2291.47,True,False,"apc_monto, apc_moneda","issn_electronic, codigo_dane, institucion_editora_2, institucion_editora_3, rank, sourceid, tipo_publicacion, titulo_normalizado_scimago_dup, open_access, sjr_score, cuartil_sjr, h_index, total_docs, total_docs_3y, total_refs, total_citas_3y, docs_citables_3y, citas_por_doc_2y, refs_por_doc, pct_female, overton, cobertura, categorias, areas, titulo_alternativo, Country of other organisation, atributos_licencia, cc_legible_maquina, apc_amount_raw, Waiver policy information URL, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, identificadores_persistentes, Continues, Continued By, titulo_normalizado_doaj_dup, apc_monto_original, apc_moneda_original, tasa_usd_utilizada, apc_monto, apc_moneda, titulo_normalizado_facts_dup, is_hybrid, titulo_normalizado_openapc_dup, contraste_publindex_cuartil, ratio_citas_docs, sjr_score_zscore, h_index_zscore, sjr_score_minmax, h_index_minmax"
2216-0388,MUNDO FESC,mundo fesc,CO,Ingeniería y Tecnología,240,imputado,1003.07,2639.66,True,False,"apc_monto, apc_moneda","issn_electronic, institucion_editora_2, institucion_editora_3, rank, sourceid, tipo_publicacion, titulo_normalizado_scimago_dup, open_access, sjr_score, cuartil_sjr, h_index, total_docs, total_docs_3y, total_refs, total_citas_3y, docs_citables_3y, citas_por_doc_2y, refs_por_doc, pct_female, overton, cobertura, categorias, areas, titulo_alternativo, Other organisation, Country of other organisation, atributos_licencia, apc_amount_raw, Waiver policy information URL, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, identificadores_persistentes, Continues, Continued By, titulo_normalizado_doaj_dup, apc_monto_original, apc_moneda_original, tasa_usd_utilizada, apc_monto, apc_moneda, titulo_normalizado_facts_dup, is_hybrid, titulo_normalizado_openapc_dup, contraste_publindex_cuartil, ratio_citas_docs, sjr_score_zscore, h_index_zscore, sjr_score_minmax, h_index_minmax"
0122-4409,Papel Político,papel politico,CO,Ciencias Sociales,241,imputado,870.41,2290.55,True,False,"apc_monto, apc_moneda","issn_electronic, issn_linking, institucion_editora_2, institucion_editora_3, rank, sourceid, tipo_publicacion, titulo_normalizado_scimago_dup, open_access, sjr_score, cuartil_sjr, h_index, total_docs, total_docs_3y, total_refs, total_citas_3y, docs_citables_3y, citas_por_doc_2y, refs_por_doc, pct_female, overton, cobertura, categorias, areas, issn_impreso, Other organisation, Country of other organisation, atributos_licencia, apc_amount_raw, Waiver policy information URL, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, URL for deposit policy, Continues, Continued By, titulo_normalizado_doaj_dup, apc_monto_original, apc_moneda_original, tasa_usd_utilizada, apc_monto, apc_moneda, titulo_normalizado_facts_dup, is_hybrid, titulo_normalizado_openapc_dup, contraste_publindex_cuartil, ratio_citas_docs, sjr_score_zscore, h_index_zscore, sjr_score_minmax, h_index_minmax"
1012-8255,ACADEMIA. REVISTA LATINOAMERICANA DE ADMINISTRACIÓN,academia latinoamericana administracion,CO,Humanidades,242,observado,1974.5,5196.05,False,False,apc_metodo_imputacion,"issn_electronic, issn_linking, institucion_editora_1, institucion_editora_2, institucion_editora_3, rank, sourceid, tipo_publicacion, titulo_normalizado_scimago_dup, open_access, sjr_score, cuartil_sjr, h_index, total_docs, total_docs_3y, total_refs, total_citas_3y, docs_citables_3y, citas_por_doc_2y, refs_por_doc, pct_female, overton, cobertura, categorias, areas, titulo_alternativo, Country of other organisation, atributos_licencia, cc_legible_maquina, apc_amount_raw, Waiver policy information URL, servicios_preservacion, Preservation Service: national library, Deposit policy directory, URL for deposit policy, identificadores_persistentes, Continues, Continued By, titulo_normalizado_doaj_dup, titulo_normalizado_facts_dup, titulo_normalizado_openapc_dup, apc_metodo_imputacion, contraste_publindex_cuartil, ratio_citas_docs, sjr_score_zscore, h_index_zscore, sjr_score_minmax, h_index_minmax"
2027-9000,Revista Colombiana De Reumatología,colombiana reumatologia,CO,Ciencias Médicas y de la Salud,243,declarado,162.0,426.32,False,False,apc_metodo_imputacion,"institucion_editora_2, institucion_editora_3, titulo_normalizado_scimago_dup, issn_impreso, atributos_licencia, Waiver policy information URL, Preservation Service: national library, Deposit policy directory, URL for deposit policy, Continues, Continued By, titulo_normalizado_doaj_dup, titulo_normalizado_facts_dup, is_hybrid, titulo_normalizado_openapc_dup, apc_metodo_imputacion"
2215-9177,Ces Medicina,ces medicina,CO,Ciencias Médicas y de la Salud,244,observado,1564.49,4117.08,False,False,apc_metodo_imputacion,"institucion_editora_2, institucion_editora_3, titulo_normalizado_scimago_dup, titulo_alternativo, atributos_licencia, Waiver policy information URL, Other fees information URL, Preservation Service: national library, Continues, Continued By, titulo_normalizado_doaj_dup, titulo_normalizado_facts_dup, titulo_normalizado_openapc_dup, apc_metodo_imputacion"
1900-5180,Revista De Estudios Sociales,estudios sociales,CO,Ciencias Sociales,245,imputado,833.25,2192.76,True,False,"apc_monto, apc_moneda","institucion_editora_2, institucion_editora_3, titulo_alternativo, Country of other organisation, atributos_licencia, cc_legible_maquina, apc_amount_raw, Waiver policy information URL, Other fees information URL, servicios_preservacion, Preservation Service: national library, Preservation information URL, Deposit policy directory, URL for deposit policy, identificadores_persistentes, Continues, Continued By, titulo_normalizado_doaj_dup, apc_monto_original, apc_moneda_original, tasa_usd_utilizada, apc_monto, apc_moneda, titulo_normalizado_facts_dup, is_hybrid, titulo_normalizado_openapc_dup"
