Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
153;21101116673;"Perifrasis";journal;"21458987, 21459045";"Universidad de los Andes, Colombia";Yes;Yes;0,115;Q3;4;30;73;721;5;62;0,02;24,03;70,83;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2011, 2019-2026";"Cultural Studies (Q3); Literature and Literary Theory (Q3); Gender Studies (Q4)";"Arts and Humanities; Social Sciences"
154;21101120351;"Dearq";journal;"20113188, 2215969X";"Universidad de los Andes, Colombia";Yes;Yes;0,115;Q4;5;23;79;344;13;63;0,12;14,96;46,15;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2019-2025";"Architecture (Q4); Geography, Planning and Development (Q4); Urban Studies (Q4)";"Engineering; Social Sciences"
155;21100229263;"Juridicas";journal;"17942918";"Universidad de Caldas";Yes;Yes;0,115;Q4;6;0;87;0;13;81;0,17;0,00;0,00;0;Colombia;Latin America;"Universidad de Caldas";"2012-2024";"Law (Q4)";"Social Sciences"
156;19900191832;"Ideas y Valores";journal;"01200062, 20113668";"Universidad Nacional de Colombia";Yes;Yes;0,114;Q3;8;31;181;1060;18;176;0,08;34,19;14,71;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2010-2025";"Philosophy (Q3)";"Arts and Humanities"
157;21100899925;"Nomadas";journal;"25394762, 01217550";"Universidad Central";Yes;Yes;0,114;Q3;8;0;49;0;8;46;0,06;0,00;0,00;0;Colombia;Latin America;"Universidad Central";"2018-2024";"Cultural Studies (Q3); Philosophy (Q3); Anthropology (Q4); Education (Q4); Psychology (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)";"Arts and Humanities; Psychology; Social Sciences"
158;21100203943;"Cuadernos de Musica, Artes Visuales y Artes Escenicas";journal;"17946670, 22159959";"Pontificia Universidad Javeriana";No;No;0,113;Q3;7;29;77;847;17;62;0,13;29,21;56,52;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2012-2026";"Music (Q3); Visual Arts and Performing Arts (Q3); Linguistics and Language (Q4)";"Arts and Humanities; Social Sciences"
159;6000170071;"Eidos";journal;"16928857, 20117477";"Universidad del Norte";Yes;Yes;0,113;Q3;5;43;41;1223;4;36;0,10;28,44;32,43;0;Colombia;Latin America;"Universidad del Norte";"2012-2025";"Philosophy (Q3)";"Arts and Humanities"
160;21100840936;"Revista Luna Azul";journal;"19092474, 01225391";"Universidad de Caldas";Yes;No;0,112;Q4;8;11;61;397;6;57;0,12;36,09;54,55;0;Colombia;Latin America;"Universidad de Caldas";"2017-2025";"Education (Q4); Environmental Science (miscellaneous) (Q4)";"Environmental Science; Social Sciences"
161;7600153109;"Revista de Economia del Rosario";journal;"2145454X, 01235362";"Universidad del Rosario";Yes;Yes;0,111;Q4;9;0;28;0;8;28;0,26;0,00;0,00;0;Colombia;Latin America;"Universidad del Rosario";"2007-2024";"Economics, Econometrics and Finance (miscellaneous) (Q4)";"Economics, Econometrics and Finance"
162;21100843496;"Cuadernos de Literatura";journal;"01228102";"Pontificia Universidad Javeriana";Yes;Yes;0,109;Q3;5;11;62;357;5;59;0,05;32,45;66,67;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2017-2025";"Literature and Literary Theory (Q3)";"Arts and Humanities"
163;21101259010;"Revista de la Asociacion Colombiana de Dermatologia y Cirugia Dermatologica";journal;"2590843X, 16570448";"";Yes;Yes;0,105;Q4;2;58;123;889;5;91;0,06;15,33;55,40;0;Colombia;Latin America;"";"2020-2026";"Dermatology (Q4); Surgery (Q4)";"Medicine"
164;21101145379;"Ciencia Nueva, Revista de Historia y Politica";journal;"25392662";"Technological University of Pereira";No;No;0,101;Q4;3;23;57;1014;4;52;0,08;44,09;23,08;0;Colombia;Latin America;"Technological University of Pereira";"2019-2025";"History (Q4); Political Science and International Relations (Q4)";"Arts and Humanities; Social Sciences"
165;21101091058;"La Palabra";journal;"23463864, 01218530";"Universidad Pedagogica y Tecnologica de Colombia";Yes;Yes;0,101;Q4;2;19;90;494;8;88;0,11;26,00;59,09;0;Colombia;Latin America;"Universidad Pedagogica y Tecnologica de Colombia";"2019-2025";"Literature and Literary Theory (Q4)";"Arts and Humanities"
166;21101193865;"Universitas Philosophica";journal;"23462426";"Pontificia Universidad Javeriana";No;No;0,100;Q4;3;20;58;615;3;56;0,05;30,75;7,69;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2020-2025";"Philosophy (Q4)";"Arts and Humanities"
