Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
51;21100792502;"Trashumante";journal;"23229675, 23229381";"Universidad de Antioquia";Yes;Yes;0,198;Q2;7;21;88;724;25;87;0,29;34,48;65,22;0;Colombia;Latin America;"Universidad de Antioquia";"2013-2026";"History (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
52;21100970236;"Estudios Gerenciales";journal;"01235923, 26656744";"Universidad Icesi";Yes;Yes;0,196;Q4;24;19;116;1155;118;116;0,75;60,79;40,48;0;Colombia;Latin America;"Universidad Icesi";"2009-2026";"Business and International Management (Q4); Economics and Econometrics (Q4); Finance (Q4); Management of Technology and Innovation (Q4); Marketing (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
53;21100901169;"Revista CES Psicologia";journal;"20113080";"Universidad CES";Yes;Yes;0,196;Q4;10;28;98;1588;59;97;0,51;56,71;51,14;0;Colombia;Latin America;"Universidad CES";"2018-2025";"Psychology (miscellaneous) (Q4)";"Psychology"
54;21101105022;"Revista de Investigacion e Innovacion en Ciencias de la Salud";journal;"26652056";"Fundacion Universitaria Maria Cano";Yes;Yes;0,195;Q3;6;46;89;1864;64;83;0,85;40,52;49,44;0;Colombia;Latin America;"Fundacion Universitaria Maria Cano";"2019-2026";"Health Professions (miscellaneous) (Q3); Occupational Therapy (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Public Health, Environmental and Occupational Health (Q4); Speech and Hearing (Q4)";"Health Professions; Medicine"
55;19700170837;"Vitae";journal;"21452660, 01214004";"Universidad de Antioquia";Yes;No;0,195;Q3;21;14;39;502;41;39;1,04;35,86;71,43;0;Colombia;Latin America;"Universidad de Antioquia";"2009-2025";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3); Applied Microbiology and Biotechnology (Q4); Food Science (Q4)";"Agricultural and Biological Sciences; Immunology and Microbiology; Pharmacology, Toxicology and Pharmaceutics"
56;21100829925;"HiSTOReLo";journal;"2145132X";"Universidad Nacional de Colombia";Yes;Yes;0,193;Q2;6;25;72;1291;18;62;0,09;51,64;47,22;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2013-2026";"Cultural Studies (Q2); History (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
57;20059;"Caldasia";journal;"03665232";"Universidad Nacional de Colombia";Yes;Yes;0,191;Q3;21;28;174;1212;92;167;0,48;43,29;35,45;0;Colombia;Latin America;"Universidad Nacional de Colombia";"1981, 1983-1984, 1986, 1989, 1992-1993, 1995-1997, 2006, 2008-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3)";"Agricultural and Biological Sciences"
58;12600154771;"DYNA (Colombia)";journal;"00127353";"Universidad Nacional de Colombia";Yes;Yes;0,191;Q4;32;83;288;2828;243;284;0,82;34,07;39,48;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2008-2026";"Engineering (miscellaneous) (Q4)";"Engineering"
59;12400154740;"Revista Facultad de Ingenieria";journal;"01206230, 24222844";"Universidad de Antioquia";Yes;Yes;0,191;Q4;21;53;133;1832;87;124;0,55;34,57;34,59;0;Colombia;Latin America;"Universidad de Antioquia";"2008-2026";"Engineering (miscellaneous) (Q4)";"Engineering"
60;21100319039;"Discusiones Filosoficas";journal;"01246127";"Universidad de Caldas";Yes;Yes;0,190;Q2;6;12;55;394;12;51;0,22;32,83;22,22;0;Colombia;Latin America;"Universidad de Caldas";"2013-2025";"Philosophy (Q2)";"Arts and Humanities"
61;21101192682;"Nuevo Derecho";journal;"20114540, 2500672X";"University Institution of Envigado";Yes;Yes;0,189;Q3;3;10;43;489;12;37;0,24;48,90;28,57;0;Colombia;Latin America;"University Institution of Envigado";"2019-2025";"Law (Q3); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
62;19700174720;"Revista Colombiana de Entomologia";journal;"01200488";"Sociedad Colombiana de Entomologia";Yes;Yes;0,189;Q4;25;15;60;816;32;60;0,39;54,40;34,48;0;Colombia;Latin America;"Sociedad Colombiana de Entomologia";"2004-2025";"Insect Science (Q4)";"Agricultural and Biological Sciences"
63;99288;"Colombia Medica";journal;"16579534, 01208322";"Facultad de Salud de la Universidad del Valle";Yes;Yes;0,188;Q4;30;18;87;534;88;70;1,16;29,67;49,40;0;Colombia;Latin America;"Facultad de Salud de la Universidad del Valle";"1946, 1990, 1996-2002, 2004-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
64;21100317205;"Infectio";journal;"24223794, 01239392";"Asociacion Colombiana de Infectologia";Yes;No;0,187;Q4;14;45;119;1096;49;107;0,44;24,36;49,25;0;Colombia;Latin America;"Asociacion Colombiana de Infectologia";"2012-2025";"Infectious Diseases (Q4); Microbiology (medical) (Q4); Pharmacology (medical) (Q4)";"Medicine"
65;5600152973;"Analisis Politico";journal;"01214705";"Universidad Nacional de Colombia";Yes;No;0,186;Q2;14;26;70;1363;41;65;0,67;52,42;19,44;0;Colombia;Latin America;"Universidad Nacional de Colombia";"1996, 2007-2012, 2014-2025";"History (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
66;21100888590;"Revista Interamericana de Bibliotecologia";journal;"25389866, 01200976";"Escuela Interamericana de Bibliotecologia";Yes;Yes;0,185;Q3;12;22;64;700;30;58;0,51;31,82;54,55;0;Colombia;Latin America;"Escuela Interamericana de Bibliotecologia";"2000-2026";"Library and Information Sciences (Q3)";"Social Sciences"
67;20000195045;"Revista Colombiana de Antropologia";journal;"2539472X, 04866525";"Instituto Colombiano de Antropologia e Historia";Yes;Yes;0,184;Q2;15;30;68;1273;26;65;0,34;42,43;56,25;0;Colombia;Latin America;"Instituto Colombiano de Antropologia e Historia";"2011-2026";"Archeology (arts and humanities) (Q2); Cultural Studies (Q2); History (Q2); Anthropology (Q3)";"Arts and Humanities; Social Sciences"
68;21100217204;"Boletin de Geologia";journal;"21458553, 01200283";"Universidad Industrial de Santander";Yes;Yes;0,184;Q4;14;19;84;1083;44;77;0,38;57,00;26,47;0;Colombia;Latin America;"Universidad Industrial de Santander";"2012-2025";"Earth and Planetary Sciences (miscellaneous) (Q4)";"Earth and Planetary Sciences"
69;21100793201;"Historia y Memoria";journal;"20275137, 2322777X";"Universidad Pedagogica y Tecnologica de Colombia";Yes;Yes;0,183;Q2;7;22;82;1062;26;75;0,33;48,27;42,11;0;Colombia;Latin America;"Universidad Pedagogica y Tecnologica de Colombia";"2015-2026";"History (Q2)";"Arts and Humanities"
70;21101196215;"Boletin Geologico";journal;"27111318, 01201425";"Colombian Geological Service";Yes;Yes;0,182;Q4;3;7;46;245;18;38;0,39;35,00;31,25;0;Colombia;Latin America;"Colombian Geological Service";"2021-2025";"Geology (Q4); Geophysics (Q4); Stratigraphy (Q4)";"Earth and Planetary Sciences"
71;21101046764;"Revista Cuidarte";journal;"22160973, 23463414";"Universidad de Santander";Yes;Yes;0,181;Q3;9;60;164;2315;97;154;0,58;38,58;64,04;0;Colombia;Latin America;"Universidad de Santander";"2019-2025";"Family Practice (Q3); Maternity and Midwifery (Q3); Medical and Surgical Nursing (Q3); Nurse Assisting (Q3); Community and Home Care (Q4); Critical Care and Intensive Care Medicine (Q4); Nursing (miscellaneous) (Q4)";"Medicine; Nursing"
72;21101104846;"Cuestiones Teologicas";journal;"23899980, 0120131X";"Universidad Pontificia Bolivariana";Yes;Yes;0,180;Q2;4;21;69;918;12;67;0,09;43,71;35,71;0;Colombia;Latin America;"Universidad Pontificia Bolivariana";"2019-2026";"Religious Studies (Q2)";"Arts and Humanities"
73;21101125516;"Revista Colombiana de Ciencias Horticolas";journal;"24223719, 20112173";"Universidad Pedagogica y Tecnologica de Colombia";No;No;0,178;Q4;11;0;123;0;80;115;0,54;0,00;0,00;0;Colombia;Latin America;"Universidad Pedagogica y Tecnologica de Colombia";"2019-2024";"Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Horticulture (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
74;33459;"Desarrollo y Sociedad";journal;"01203584, 19007760";"Universidad de los Andes, Colombia";Yes;Yes;0,176;Q3;11;17;58;678;19;51;0,31;39,88;30,30;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"1979-1985, 1994, 2010-2025";"Political Science and International Relations (Q3); Sociology and Political Science (Q3); Development (Q4); Economics and Econometrics (Q4)";"Economics, Econometrics and Finance; Social Sciences"
75;17600155203;"Acta Biologica Colombiana";journal;"0120548X, 19001649";"Universidad Nacional de Colombia";Yes;Yes;0,175;Q4;25;47;170;1916;91;159;0,38;40,77;35,26;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2008-2025";"Agricultural and Biological Sciences (miscellaneous) (Q4)";"Agricultural and Biological Sciences"
