"TXT_ISSN_P","TXT_ISSN_E","TXT_ISSN_L","NME_REVISTA_IN","NRO_ANO","ID_CLAS_REV","PAIS_REV_IN","REG_REV_IN","DEP_REV_IN","COD_DANE_REV_IN","MUN_REV_IN","ID_AREA_CON","NME_ESPECIALIDAD","NME_AREA","NME_GRAN_AREA","ID_INST_EDIT_1","NME_INST_EDIT_1","TIPO_INS_N1_E1","TIPO_INS_N2_E1","TIPO_INS_N3_E1","TIPO_INS_N4_E1","ID_INST_EDIT_2","NME_INST_EDIT_2","TIPO_INS_N1_E2","TIPO_INS_N2_E2","TIPO_INS_N3_E2","TIPO_INS_N4_E2","ID_INST_EDIT_3","NME_INST_EDIT_3","TIPO_INS_N1_E3","TIPO_INS_N2_E3","TIPO_INS_N3_E3","TIPO_INS_N4_E3","ID_REVISTA_P"
"0120-1700","2389-8755",,"Actualidades Pedagógicas","2014","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5C01","Educación General (Incluye Capacitación, Pedagogía)","Ciencias de la Educación","Ciencias Sociales","688","UNIVERSIDAD DE LA SALLE","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","245"
"0120-3053",,,"Apuntes Del Cenes","2008","C","Colombia","Centro Oriente","Boyacá","15001","Tunja","5B01","Economía","Economía y Negocios","Ciencias Sociales","930","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","6"
"0120-4211",,,"Bistua : Revista  De La Facultad De Ciencias Básicas","2007","C","No disponible","No disponible","No disponible",,"No disponible","1D03","Química Física","Ciencias Químicas","Ciencias Naturales","533","UNIVERSIDAD DE PAMPLONA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","632"
"0121-5256",,,"Revista Med","2007","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3C","No registra","Ciencias de la Salud","Ciencias Médicas y de la Salud","76","UNIVERSIDAD MILITAR NUEVA GRANADA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","570"
"0123-7047",,,"Medunab","2007","C","Colombia","Centro Oriente","Santander","68276","Floridablanca","3C01","Ciencias del Cuidado de la Salud y Servicios (Administración de Hospitales, Financiamiento)","Ciencias de la Salud","Ciencias Médicas y de la Salud","610","UNIVERSIDAD AUTONOMA DE BUCARAMANGA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","186"
"0120-3053",,,"Apuntes Del Cenes","2013","B","Colombia","Centro Oriente","Boyacá","15001","Tunja","5B01","Economía","Economía y Negocios","Ciencias Sociales","930","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","6"
"0121-0777",,,"El Hombre Y La Máquina","2014","C","No disponible","No disponible","No disponible",,"No disponible","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","497","UNIVERSIDAD DE SAN BUENAVENTURA CALI","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","400"
"0120-3592",,,"Cuadernos De Administración","2014","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5B04","Negocios y Management","Economía y Negocios","Ciencias Sociales","679","PONTIFICIA UNIVERSIDAD JAVERIANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","259"
"1657-320X",,,"Archivos De Medicina","2011","B","Colombia","Eje Cafetero","Caldas","17001","Manizales","3C","No registra","Ciencias de la Salud","Ciencias Médicas y de la Salud","1,641","UNIVERSIDAD DE MANIZALES UMANIZALES","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","559"
"0120-971X",,,"Ces Odontología","2009","C","No disponible","No disponible","No disponible",,"No disponible","3B14","Odontología, Cirugía Oral y Medicina Oral","Medicina Clínica","Ciencias Médicas y de la Salud","895","UNIVERSIDAD CES","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","486"
"0121-6805",,,"Revista Facultad De Ciencias Económicas : Investigación Y Reflexión","2010","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5B","No registra","Economía y Negocios","Ciencias Sociales","76","UNIVERSIDAD MILITAR NUEVA GRANADA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","627"
"1657-8031",,,"El Ágora Usb","2015","A2","Colombia","Eje Cafetero","Antioquia","05001","Medellín","5I01","Ciencias Sociales, Interdisciplinaria","Otras Ciencias Sociales","Ciencias Sociales","497","UNIVERSIDAD DE SAN BUENAVENTURA CALI","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","510"
"1794-192X",,,"Revista Guillermo De Ockman","2010","C","Colombia","Pacífico","Valle del Cauca","76001","Cali","5A","No registra","Psicología","Ciencias Sociales","497","UNIVERSIDAD DE SAN BUENAVENTURA CALI","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","464"
"0123-3475","1909-8758",,"Revista Colombiana De Biotecnología","2008","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","4D01","Biotecnología Agrícola y de Alimentos","Biotecnología Agrícola","Ciencias Agrícolas","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible","16,217","INSTITUTO DE BIOTECNOLOGIA","No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","270"
"2011-639X",,,"Revista De Investigación","2012","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","658","FUNDACION UNIVERSIDAD DE AMERICA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","499"
"1909-2474",,,"Revista Luna Azul","2009","B","Colombia","Eje Cafetero","Caldas","17001","Manizales","5G","No registra","Geografía Social y Económica","Ciencias Sociales","544","UNIVERSIDAD DE CALDAS","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","613"
"1794-2918",,,"Jurídicas","2010","C","Colombia","Eje Cafetero","Caldas","17001","Manizales","5E01","Derecho","Derecho","Ciencias Sociales","544","UNIVERSIDAD DE CALDAS","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,043"
"0120-3053",,,"Apuntes Del Cenes","2015","A2","Colombia","Centro Oriente","Boyacá","15001","Tunja","5B01","Economía","Economía y Negocios","Ciencias Sociales","930","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","6"
"0121-8417",,,"Revista Historia Y Sociedad","2013","B","Colombia","Eje Cafetero","Antioquia","05001","Medellín","6A01","Historia","Historia y Arqueología","Humanidades","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,080"
"0121-5612","1900-6004",,"Colombia Internacional","2009","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5F01","Ciencias Políticas","Ciencias Políticas","Ciencias Sociales","663","UNIVERSIDAD DE LOS ANDES","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","45"
"2011-513X",,,"Revista Ciencia Animal","2011","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","4C","No registra","Ciencias Veterinarias","Ciencias Agrícolas","688","UNIVERSIDAD DE LA SALLE","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","869"
"0121-2494",,,"Pedagogía Y Saberes","2011","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5C01","Educación General (Incluye Capacitación, Pedagogía)","Ciencias de la Educación","Ciencias Sociales","966","UNIVERSIDAD PEDAGOGICA NACIONAL","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","244"
"0120-0690",,,"Revista Colombiana De Ciencias Pecuarias","2009","A1","Colombia","Eje Cafetero","Antioquia","05001","Medellín","4B01","Ciencias Animales y Lechería","Ciencias Animales y Lechería","Ciencias Agrícolas","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","70"
"0122-5197",,,"Memoria Y Sociedad","2007","C","No disponible","No disponible","No disponible",,"No disponible","6A01","Historia","Historia y Arqueología","Humanidades","679","PONTIFICIA UNIVERSIDAD JAVERIANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","497"
"0121-4772",,,"Revista Cuadernos De Economía","2007","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5B01","Economía","Economía y Negocios","Ciencias Sociales","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","82"
"0124-3691",,,"Revista Gastrohnup","2012","C","No disponible","No disponible","No disponible",,"No disponible","3B28","Otros Temas de Medicina Clínica","Medicina Clínica","Ciencias Médicas y de la Salud","512","UNIVERSIDAD DEL VALLE","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","90"
"1900-0448",,,"Iusta","2009","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5E","No registra","Derecho","Ciencias Sociales","675","UNIVERSIDAD SANTO TOMAS","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","712"
"1692-2530",,,"Opinión Jurídica","2009","B","Colombia","Eje Cafetero","Antioquia","05001","Medellín","5E","No registra","Derecho","Ciencias Sociales","575","UNIVERSIDAD DE MEDELLIN","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","513"
"1900-3080",,,"Revista Nacional De Odontología","2014","C","Colombia","Eje Cafetero","Antioquia","05266","Envigado","3B","No registra","Medicina Clínica","Ciencias Médicas y de la Salud","4,433","CORPORACION CLINICA UNIVERSIDAD COOPERATIVA DE COLOMBIA","Otras","Organizaciones no gubernamentales","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","188"
"2011-3188",,,"Dearquitectura","2010","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6D07","Arquitectura y Urbanismo","Arte","Humanidades","663","UNIVERSIDAD DE LOS ANDES","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","135"
"0120-5927",,,"How","2014","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5C","No registra","Ciencias de la Educación","Ciencias Sociales","4,784","ASOCIACION COLOMBIANA DE PROFESORES DE INGLES","Otras","Entidades sin ánimo de lucro","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,112"
"1657-2513","2463 -225",,"Revista Areté","2012","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","2,760","CORPORACION UNIVERSITARIA AMERICANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,013"
"0120-8454","2145-9169",,"Análisis","2008","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6E02","Filosofía","Otras Humanidades","Humanidades","675","UNIVERSIDAD SANTO TOMAS","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","710"
"1794-5887",,,"Co-Herencia","2007","C","Colombia","Eje Cafetero","Antioquia","05001","Medellín","6E02","Filosofía","Otras Humanidades","Humanidades","571","UNIVERSIDAD EAFIT","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","574"
"1909-9762",,,"Revista Ingeniería Biomédica","2014","B","Colombia","Eje Cafetero","Antioquia","05266","Envigado","3D","No registra","Biotecnología en Salud","Ciencias Médicas y de la Salud","892","UNIVERSIDAD EIA","IES","Universidades","Privado","No disponible","895","UNIVERSIDAD CES","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,134"
"1900-8325",,,"Estudios En Seguridad Y Defensa","2012","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","3,751","ESCUELA SUPERIOR DE GUERRA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,089"
"0123-2614",,,"Nova Et Vetera","2011","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","1,816","ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","265"
"1692-2522",,,"Anagramas : Rumbos Y Sentidos De La Comunicación","2012","A2","No disponible","No disponible","No disponible",,"No disponible","5H04","Medios y Comunicación Social","Periodismo y Comunicaciones","Ciencias Sociales","575","UNIVERSIDAD DE MEDELLIN","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","484"
"0120-8462","2500-5375",,"Cuadernos De Filosofía Latinoamericana","2011","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6E02","Filosofía","Otras Humanidades","Humanidades","675","UNIVERSIDAD SANTO TOMAS","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","638"
"2215-910X","2017-5692",,"Suma De Negocios","2011","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5B04","Negocios y Management","Economía y Negocios","Ciencias Sociales","1,620","FUNDACION UNIVERSITARIA KONRAD LORENZ","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,086"
"2027-8306",,,"Revista De Investigacion, Desarrollo E Innovacion","2011","C","Colombia","Centro Oriente","Boyacá","15238","Duitama","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","930","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","779"
"1657-1959","2346-2116",,"La Propiedad Inmaterial","2013","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","686","UNIVERSIDAD EXTERNADO DE COLOMBIA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","7"
"2145-1362",,,"R.F.S. Revista Facultad De Salud Universidad Surcolombiana","2011","C","Colombia","Centro Sur","Huila","41001","Neiva","3C","No registra","Ciencias de la Salud","Ciencias Médicas y de la Salud","905","UNIVERSIDAD SURCOLOMBIANA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","164"
"2145-4426","2145-7778",,"Trilogía. Ciencia, Tecnologia Y Sociedad","2014","C","Colombia","Eje Cafetero","Antioquia","05001","Medellín","5I01","Ciencias Sociales, Interdisciplinaria","Otras Ciencias Sociales","Ciencias Sociales","71","INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","365"
"1794-161X","2389-7864",,"Revista Intropica","2011","C","Colombia","Caribe","Magdalena","47001","Santa Marta","1E","No registra","Ciencias de la Tierra y Medioambientales","Ciencias Naturales","928","UNIVERSIDAD DEL MAGDALENA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,005"
"1692-6250","2500-607X",,"Grafía. Cuaderno De Trabajo De Los Profesores De La Facultad De Ciencias Humanas Universidad Autónoma De Colombia","2012","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6E","No registra","Otras Humanidades","Humanidades","1,801","UNIVERSIDAD AUTONOMA DE COLOMBIA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","933"
"1692-2530",,,"Opinión Jurídica","2013","A2","Colombia","Eje Cafetero","Antioquia","05001","Medellín","5E","No registra","Derecho","Ciencias Sociales","575","UNIVERSIDAD DE MEDELLIN","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","513"
"1909-2458",,,"Ingeniare","2014","C","Colombia","Caribe","Atlántico","08001","Barranquilla","2K","No registra","Otras Ingenierías y Tecnologías","Ingeniería y Tecnología","684","UNIVERSIDAD LIBRE DE COLOMBIA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,122"
"2145-9282","2422-2399",,"Ingenio Magno","2013","C","Colombia","Centro Oriente","Boyacá","15001","Tunja","2K","No registra","Otras Ingenierías y Tecnologías","Ingeniería y Tecnología","675","UNIVERSIDAD SANTO TOMAS","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,182"
"2011-804X",,,"(Pensamiento), (Palabra) Y Obra","2013","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6D01","Artes plásticas y visuales","Arte","Humanidades","966","UNIVERSIDAD PEDAGOGICA NACIONAL","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","934"
"0370-3908",,,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales","2012","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","1E06","Geología","Ciencias de la Tierra y Medioambientales","Ciencias Naturales","2,042","ACADEMIA COLOMBIANA DE CIENCIAS EXACTAS FISICAS Y NATURALES ACCEFYN","Otras","Entidades sin ánimo de lucro","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","257"
"1909-7786",,,"Revista De Derecho, Comunicaciones Y Nuevas Tecnologias","2014","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5E01","Derecho","Derecho","Ciencias Sociales","663","UNIVERSIDAD DE LOS ANDES","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","166"
"2145-2776",,,"Psicoespacios","2013","C","Colombia","Eje Cafetero","Antioquia","05266","Envigado","5A02","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)","Psicología","Ciencias Sociales","336","INSTITUCION UNIVERSITARIA DE ENVIGADO","IES","Instituciones Universitarias o Escuelas Tecnológicas","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","785"
"0124-7255",,,"Dixi","2013","C","Colombia","Centro Oriente","Santander","68001","Bucaramanga","5E01","Derecho","Derecho","Ciencias Sociales","4,433","CORPORACION CLINICA UNIVERSIDAD COOPERATIVA DE COLOMBIA","Otras","Organizaciones no gubernamentales","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","903"
"2011-5733",,,"Revista Criterios","2012","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5E","No registra","Derecho","Ciencias Sociales","497","UNIVERSIDAD DE SAN BUENAVENTURA CALI","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","824"
"2145-9932",,,"Revista Ces Salud Publica","2016","C","Colombia","Eje Cafetero","Antioquia","05001","Medellín","3C05","Salud Pública","Ciencias de la Salud","Ciencias Médicas y de la Salud","895","UNIVERSIDAD CES","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","748"
"0120-2812","23230118",,"Acta Agronómica","2016","A2","Colombia","Pacífico","Valle del Cauca","76520","Palmira","1E","No registra","Ciencias de la Tierra y Medioambientales","Ciencias Naturales","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","535"
"0121-215X",,,"Cuadernos De Geografía","2017","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","1E01","Geociencias (Multidisciplinario)","Ciencias de la Tierra y Medioambientales","Ciencias Naturales","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,011"
"1909-9843",,,"Iter Ad Veritatem","2014","C","Colombia","Centro Oriente","Boyacá","15001","Tunja","6E","No registra","Otras Humanidades","Humanidades","675","UNIVERSIDAD SANTO TOMAS","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,081"
"0120-6230","2422-2844",,"Revista Facultad De Ingeniería","2017","B","Colombia","Eje Cafetero","Antioquia","05001","Medellín","2K02","Otras Ingenierías y Tecnologías","Otras Ingenierías y Tecnologías","Ingeniería y Tecnología","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","93"
"1657-5997",,,"Aquichan","2017","C","Colombia","Centro Oriente","Cundinamarca","25175","Chía","3C03","Enfermería","Ciencias de la Salud","Ciencias Médicas y de la Salud","740","UNIVERSIDAD DE LA SABANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","489"
"2346-1780",,,"Perseitas","2015","C","Colombia","Eje Cafetero","Antioquia","05001","Medellín","6E02","Filosofía","Otras Humanidades","Humanidades","901","UNIVERSIDAD CATOLICA LUIS AMIGO","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","431"
"0124-0064",,,"Revista De Salud Pública","2015","A1","No disponible","No disponible","No disponible",,"No disponible","3C05","Salud Pública","Ciencias de la Salud","Ciencias Médicas y de la Salud","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","253"
"0123-3769",,,"Perspectiva Geográfica","2018","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6E","No registra","Otras Humanidades","Humanidades","930","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA","IES","Universidades","Público","No disponible","2,547","INSTITUTO GEOGRAFICO AGUSTIN CODAZZI","Entidades de Gobierno","Nacional","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible","97"
"2811-3854",,,"Soluciones De Postgrados Eia","2013","C","Colombia","Eje Cafetero","Antioquia","05","No disponible","5B","No registra","Economía y Negocios","Ciencias Sociales","892","UNIVERSIDAD EIA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible",
"2145-2776",,,"Psicoespacios","2016","C","Colombia","Eje Cafetero","Antioquia","05266","Envigado","5A02","Psicología (Incluye Terapias de Aprendizaje, Habla, Visual y Otras Discapacidades Físicas y Mentales)","Psicología","Ciencias Sociales","336","INSTITUCION UNIVERSITARIA DE ENVIGADO","IES","Instituciones Universitarias o Escuelas Tecnológicas","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","785"
"0121-6805",,,"Revista Facultad De Ciencias Económicas : Investigación Y Reflexión","2020","B","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5B","No registra","Economía y Negocios","Ciencias Sociales","76","UNIVERSIDAD MILITAR NUEVA GRANADA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","627"
"2011-7574",,,"Investigación & Desarrollo","2016","A2","Colombia","Caribe","Atlántico","08001","Barranquilla","6E","No registra","Otras Humanidades","Humanidades","484","FUNDACION UNIVERSIDAD DEL NORTE","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,173"
"2344-8636",,,"Ciencia e Innovación en Salud","2019","B","Colombia","Caribe","Atlántico","08001","Barranquilla","3B","No registra","Medicina Clínica","Ciencias Médicas y de la Salud","603","UNIVERSIDAD SIMON BOLIVAR","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","458"
"1657-9763",,,"Apuntes","2014","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6D07","Arquitectura y Urbanismo","Arte","Humanidades","679","PONTIFICIA UNIVERSIDAD JAVERIANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1,131"
"0120-4211",,,"Bistua : Revista  De La Facultad De Ciencias Básicas","2018","C","No disponible","No disponible","No disponible",,"No disponible","1D03","Química Física","Ciencias Químicas","Ciencias Naturales","533","UNIVERSIDAD DE PAMPLONA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","632"
