"TXT_ISSN_P","TXT_ISSN_E","TXT_ISSN_L","NME_REVISTA_IN","NRO_ANO","ID_CLAS_REV","PAIS_REV_IN","REG_REV_IN","DEP_REV_IN","COD_DANE_REV_IN","MUN_REV_IN","ID_AREA_CON","NME_ESPECIALIDAD","NME_AREA","NME_GRAN_AREA","ID_INST_EDIT_1","NME_INST_EDIT_1","TIPO_INS_N1_E1","TIPO_INS_N2_E1","TIPO_INS_N3_E1","TIPO_INS_N4_E1","ID_INST_EDIT_2","NME_INST_EDIT_2","TIPO_INS_N1_E2","TIPO_INS_N2_E2","TIPO_INS_N3_E2","TIPO_INS_N4_E2","ID_INST_EDIT_3","NME_INST_EDIT_3","TIPO_INS_N1_E3","TIPO_INS_N2_E3","TIPO_INS_N3_E3","TIPO_INS_N4_E3","ID_REVISTA_P"
"1692-8156","2011-1703",,"International Law : Revista Colombiana De Derecho Internacional","2005","C","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5E01","Derecho","Derecho","Ciencias Sociales","679","PONTIFICIA UNIVERSIDAD JAVERIANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","498"
"0304-3584","2145-7166",,"Actualidades Biológicas","2009","A2","Colombia","Eje Cafetero","Antioquia","05001","Medellín","1F16","Otras Biologías","Ciencias Biológicas","Ciencias Naturales","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","17"
"0120-0062","2011-3668",,"Ideas Y Valores","2011","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","6E01","Otras Humanidades","Otras Humanidades","Humanidades","956","UNIVERSIDAD NACIONAL DE COLOMBIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","139"
"0041-9095","2011-0839",,"Universitas Médica","2007","C","No disponible","No disponible","No disponible",,"No disponible","3C","No registra","Ciencias de la Salud","Ciencias Médicas y de la Salud","679","PONTIFICIA UNIVERSIDAD JAVERIANA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","211"
"0123-5923",,,"Estudios Gerenciales","2009","A2","Colombia","Pacífico","Valle del Cauca","76001","Cali","5B01","Economía","Economía y Negocios","Ciencias Sociales","505","UNIVERSIDAD ICESI","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","26"
"1657-6276",,,"Pensamiento & Gestión","2007","C","Colombia","Caribe","Atlántico","08001","Barranquilla","5B04","Negocios y Management","Economía y Negocios","Ciencias Sociales","484","FUNDACION UNIVERSIDAD DEL NORTE","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","96"
"0124-5996",,,"Revista De Economía Institucional","2012","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","5B01","Economía","Economía y Negocios","Ciencias Sociales","686","UNIVERSIDAD EXTERNADO DE COLOMBIA","IES","Universidades","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","1"
"1657-4249",,,"Uni-Pluriversidad","2006","C","Colombia","Eje Cafetero","Antioquia","05001","Medellín","5I","No registra","Otras Ciencias Sociales","Ciencias Sociales","883","UNIVERSIDAD DE ANTIOQUIA","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","173"
"1657-4583",,,"Uis Ingenierías","2010","B","Colombia","Centro Oriente","Santander","68001","Bucaramanga","2K","No registra","Otras Ingenierías y Tecnologías","Ingeniería y Tecnología","615","UNIVERSIDAD INDUSTRIAL DE SANTANDER","IES","Universidades","Público","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","66"
"0123-9392","2422-379",,"Infectio","2013","A2","Colombia","Distrito Capital","Bogotá, D. C.","11001","Bogotá, D.C.","3E02","Otras Ciencias Médicas","Otras Ciencias Médicas","Ciencias Médicas y de la Salud","2,996","ASOCIACION COLOMBIANA DE INFECTOLOGIA","Otras","Entidades sin ánimo de lucro","Privado","No disponible",,,"No disponible","No disponible","No disponible","No disponible",,,"No disponible","No disponible","No disponible","No disponible","248"
